timestamp,event_type,key_or_button,x,y
374,mouse_move,,699.5859375,422.390625
379,mouse_move,,697.77734375,426.0
387,mouse_move,,695.51171875,429.16796875
395,mouse_move,,693.10546875,433.01171875
403,mouse_move,,690.69921875,436.85546875
412,mouse_move,,688.29296875,440.69921875
419,mouse_move,,679.921875,452.87109375
427,mouse_move,,673.15625,461.6640625
436,mouse_move,,667.06640625,471.1328125
444,mouse_move,,659.73828125,482.12109375
452,mouse_move,,653.39453125,492.6875
460,mouse_move,,645.0234375,504.859375
468,mouse_move,,637.6953125,516.578125
476,mouse_move,,629.32421875,528.75
484,mouse_move,,621.99609375,540.46875
492,mouse_move,,613.625,552.640625
500,mouse_move,,605.25390625,564.8125
508,mouse_move,,596.8828125,576.984375
517,mouse_move,,589.2734375,589.9140625
525,mouse_move,,580.59375,603.32421875
533,mouse_move,,571.9140625,616.734375
541,mouse_move,,562.4453125,629.35546875
549,mouse_move,,553.765625,642.765625
557,mouse_move,,545.39453125,654.9375
565,mouse_move,,542.17578125,660.30078125
573,mouse_move,,535.83203125,670.8671875
581,mouse_move,,530.41796875,680.3359375
590,mouse_move,,525.00390625,689.8046875
598,mouse_move,,520.46484375,698.87890625
606,mouse_move,,515.92578125,707.953125
614,mouse_move,,512.203125,716.015625
622,mouse_move,,508.3125,725.08984375
630,mouse_move,,505.34765625,732.7890625
638,mouse_move,,502.2421875,741.47265625
646,mouse_move,,496.71875,756.4609375
654,mouse_move,,494.79296875,760.78515625
662,mouse_move,,491.55078125,770.5078125
670,mouse_move,,488.5859375,778.20703125
678,mouse_move,,486.328125,784.9765625
686,mouse_move,,485.05078125,787.94921875
695,mouse_move,,483.5234375,793.03125
703,mouse_move,,480.55859375,800.73046875
711,mouse_move,,479.5390625,805.8125
719,mouse_move,,478.57421875,810.13671875
727,mouse_move,,478.0625,815.21875
735,mouse_move,,477.55078125,820.30078125
743,mouse_move,,477.55078125,823.2734375
751,mouse_move,,477.55078125,827.59765625
759,mouse_move,,477.55078125,831.21875
768,mouse_move,,477.55078125,834.19140625
776,mouse_move,,477.55078125,836.5703125
784,mouse_move,,477.55078125,838.94921875
792,mouse_move,,477.55078125,840.79296875
799,mouse_move,,477.55078125,842.15625
808,mouse_move,,477.55078125,843.09375
816,mouse_move,,477.55078125,844.45703125
824,mouse_move,,477.55078125,845.39453125
832,mouse_move,,477.55078125,846.7578125
840,mouse_move,,477.55078125,848.12109375
848,mouse_move,,477.55078125,849.96484375
856,mouse_move,,477.55078125,851.328125
864,mouse_move,,477.55078125,853.171875
872,mouse_move,,477.55078125,854.53515625
880,mouse_move,,477.55078125,855.8984375
888,mouse_move,,477.55078125,856.8359375
897,mouse_move,,477.55078125,857.7734375
905,mouse_move,,477.55078125,858.34375
913,mouse_move,,477.55078125,859.28125
921,mouse_move,,477.55078125,860.64453125
929,mouse_move,,477.234375,861.58203125
937,mouse_move,,476.890625,862.9453125
945,mouse_move,,476.57421875,863.8828125
953,mouse_move,,476.2578125,864.8203125
961,mouse_move,,475.94140625,865.7578125
970,mouse_move,,475.94140625,866.328125
978,mouse_move,,475.65234375,866.8984375
986,mouse_move,,475.65234375,867.15625
994,mouse_move,,475.65234375,867.4140625
1007,mouse_down,Left,,
1104,mouse_up,Left,,
1261,mouse_move,,475.65234375,866.95703125
1271,mouse_move,,475.65234375,863.98046875
1277,mouse_move,,475.65234375,861.00390625
1287,mouse_move,,475.65234375,856.67578125
1294,mouse_move,,475.65234375,853.05078125
1304,mouse_move,,475.65234375,848.72265625
1309,mouse_move,,475.16796875,844.39453125
1317,mouse_move,,475.67578125,839.30859375
1325,mouse_move,,477.703125,828.484375
1358,mouse_move,,480.18359375,819.796875
1358,mouse_move,,486.9453125,802.04296875
1358,mouse_move,,493.48046875,785.69921875
1358,mouse_move,,501.84765625,763.375
1365,mouse_move,,509.51171875,739.4140625
1374,mouse_move,,520.51171875,706.41015625
1381,mouse_move,,530.15625,675.328125
1390,mouse_move,,541.72265625,638.3046875
1397,mouse_move,,554.44921875,601.28125
1405,mouse_move,,565.734375,566.296875
1414,mouse_move,,578.08984375,531.46875
2950,mouse_move,,577.85546875,531.00390625
2959,mouse_move,,575.73046875,528.87890625
2966,mouse_move,,573.60546875,526.328125
2974,mouse_move,,570.23828125,522.9609375
2984,mouse_move,,567.3515625,519.59375
2991,mouse_move,,563.30078125,516.046875
2999,mouse_move,,559.23046875,512.9921875
3007,mouse_move,,555.16015625,509.9375
3015,mouse_move,,550.58203125,506.8828125
3023,mouse_move,,546.00390625,504.33984375
3031,mouse_move,,540.91796875,502.3046875
3039,mouse_move,,535.83203125,500.26953125
3047,mouse_move,,530.74609375,498.234375
3055,mouse_move,,524.84375,496.625
3064,mouse_move,,519.7578125,495.60546875
3073,mouse_move,,513.85546875,494.53125
3082,mouse_move,,511.47265625,494.1328125
3089,mouse_move,,507.84765625,493.6796875
3096,mouse_move,,504.87109375,493.25390625
3104,mouse_move,,502.48828125,492.85546875
3112,mouse_move,,500.6484375,492.484375
3120,mouse_move,,499.28125,492.140625
3128,mouse_move,,498.33984375,492.140625
3136,mouse_move,,497.765625,492.140625
3144,mouse_move,,497.50390625,492.140625
3152,mouse_move,,497.2421875,492.140625
3197,mouse_down,Left,,
3310,mouse_up,Left,,
4694,key_down,KeyC,,
4760,key_up,KeyC,,
4792,key_down,KeyH,,
4876,key_up,KeyH,,
4947,key_down,KeyA,,
5052,key_up,KeyA,,
6310,key_down,KeyT,,
6384,key_up,KeyT,,
7724,key_down,Dot,,
7815,key_up,Dot,,
8028,key_down,KeyO,,
8105,key_down,KeyP,,
8133,key_up,KeyO,,
8197,key_up,KeyP,,
8269,key_down,KeyE,,
8366,key_up,KeyE,,
8508,key_down,KeyN,,
8576,key_up,KeyN,,
10831,key_down,KeyA,,
10910,key_up,KeyA,,
10955,key_down,KeyI,,
11024,key_up,KeyI,,
11325,key_down,Dot,,
11409,key_up,Dot,,
11511,key_down,KeyC,,
11602,key_up,KeyC,,
11623,key_down,KeyO,,
11735,key_down,KeyM,,
11787,key_up,KeyO,,
11807,key_up,KeyM,,
12297,key_down,Return,,
12425,key_up,Return,,
